No_of_people_give_rating,price,product,rating
"35,197","₹16,999","Realme 5i (Forest Green, 128 GB)",4.6
"69,148","₹17,999","Redmi 8 (Ruby Red, 64 GB)",4.5
"96,533","₹16,999","Realme C3 (Frozen Blue, 32 GB)",4.5
"70,078","₹19,999","Realme C3 (Blazing Red, 32 GB)",4.5
"2,54,135","₹12,999","Redmi 8 (Onyx Black, 64 GB)",4.5
"1,33,222","₹1,710","Realme 6 (Comet Blue, 64 GB)",4.3
"53,358","₹26,999","Realme 5i (Forest Green, 64 GB)",4.5
"21,497","₹22,999","Realme 5i (Aqua Blue, 128 GB)",4.5
"1,20,565","₹1,150","Realme 5i (Aqua Blue, 64 GB)",4.3
"24,755","₹12,999","Realme 5s (Crystal Blue, 64 GB)",4.3
"24,141","₹36,999","Realme 6 (Comet White, 64 GB)",4.5
"3,50,751","₹6,699","Realme C2 (Diamond Blue, 32 GB)",4.3
"10,781","₹73,600","Realme C2 (Diamond Black, 32 GB)",4.7
"7,598","₹12,999","Realme C2 (Diamond Black, 32 GB)",4.4
"53,553","₹15,899","Realme 5s (Crystal Purple, 64 GB)",4.3
"38,041","₹21,999","Realme 5s (Crystal Blue, 128 GB)",4.5
"4,61,188","₹8,999","Realme C3 (Frozen Blue, 64 GB)",4.4
"14,927","₹2,130","Realme 6 Pro (Lightning Blue, 64 GB)",4.2
"9,963","₹38,999","Realme C2 (Diamond Sapphire, 32 GB)",4.5
"4,29,603","₹8,499","Realme C2 (Diamond Ruby, 32 GB)",4.4
"4,29,603","₹8,499","POCO X2 (Matrix Purple, 128 GB)",4.4
"4,29,603","₹9,499","Realme 6 Pro (Lightning Blue, 128 GB)",4.4
"4,350","₹35,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.6
440,"₹29,999","Realme 5 (Crystal Blue, 64 GB)",4.5
"1,37,379","₹10,999","Realme 5i (Forest Green, 128 GB)",4.4
"4,61,188","₹8,999","Redmi 8 (Ruby Red, 64 GB)",4.4
"29,233","₹7,499","Realme C3 (Frozen Blue, 32 GB)",4.4
"29,233","₹7,499","Realme C3 (Blazing Red, 32 GB)",4.4
"4,61,188","₹8,999","Redmi 8 (Onyx Black, 64 GB)",4.4
"14,909","₹13,999","Realme 6 (Comet Blue, 64 GB)",4.4
"1,37,379","₹9,999","Realme 5i (Forest Green, 64 GB)",4.4
"1,37,379","₹10,999","Realme 5i (Aqua Blue, 128 GB)",4.4
"1,37,379","₹9,999","Realme 5i (Aqua Blue, 64 GB)",4.4
"2,22,924","₹10,999","Realme 5s (Crystal Blue, 64 GB)",4.4
"14,909","₹13,999","Realme 6 (Comet White, 64 GB)",4.4
"7,31,107","₹6,499","Realme C2 (Diamond Blue, 32 GB)",4.4
"6,37,257","₹10,999","Realme 5i (Forest Green, 128 GB)",4.4
"7,31,107","₹6,499","Realme C2 (Diamond Black, 32 GB)",4.4
"1,11,336","₹7,499","Realme C2 (Diamond Black, 32 GB)",4.3
"2,22,924","₹11,999","Realme 5s (Crystal Purple, 64 GB)",4.4
"2,22,924","₹12,999","Realme 5s (Crystal Blue, 128 GB)",4.4
"33,605","₹8,499","Realme C3 (Frozen Blue, 64 GB)",4.4
"3,007","₹17,999","Realme 6 Pro (Lightning Blue, 64 GB)",4.6
"1,11,336","₹7,499","Realme C2 (Diamond Sapphire, 32 GB)",4.3
"1,11,336","₹7,499","Realme C2 (Diamond Ruby, 32 GB)",4.3
"35,197","₹17,999","POCO X2 (Matrix Purple, 128 GB)",4.6
"2,719","₹19,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.5
"10,781","₹73,600","Redmi 8 (Ruby Red, 64 GB)",4.7
"86,129","₹34,900","Realme C3 (Frozen Blue, 32 GB)",4.5
"91,359","₹25,299","Realme C3 (Blazing Red, 32 GB)",4.5
"1,146","₹25,250","Redmi 8 (Onyx Black, 64 GB)",4.4
"2,54,135","₹12,999","Realme 6 (Comet Blue, 64 GB)",4.5
"10,781","₹68,300","Realme 5i (Forest Green, 64 GB)",4.7
"10,781","₹68,300","Realme 5i (Aqua Blue, 128 GB)",4.7
"4,350","₹36,999","Realme 5i (Aqua Blue, 64 GB)",4.6
"4,350","₹36,999","Realme 5s (Crystal Blue, 64 GB)",4.6
"3,007","₹18,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.6
"3,07,591","₹10,999","Realme 5 (Crystal Blue, 64 GB)",4.4
"10,343","₹20,999","Realme 5i (Forest Green, 128 GB)",4.6
"3,07,591","₹10,999","Realme 5i (Forest Green, 128 GB)",4.4
"4,350","₹35,999","Realme 6 (Comet White, 64 GB)",4.6
"3,88,992","₹11,999","Realme C2 (Diamond Blue, 32 GB)",4.4
"45,078","₹1,219","Realme C2 (Diamond Black, 32 GB)",4.3
"3,50,751","₹6,699","Realme C2 (Diamond Black, 32 GB)",4.3
"6,387","₹14,999","Realme 5s (Crystal Purple, 64 GB)",4.3
"2,719","₹19,999","Realme 5s (Crystal Blue, 128 GB)",4.5
"1,64,546","₹10,499","Realme C3 (Frozen Blue, 64 GB)",4.4
"4,29,603","₹8,499","Realme 6 Pro (Lightning Blue, 64 GB)",4.4
"2,89,559","₹9,999","Realme C2 (Diamond Sapphire, 32 GB)",4.4
"86,129","₹34,900","Realme C2 (Diamond Ruby, 32 GB)",4.5
"10,238","₹11,399","Redmi 8 (Ruby Red, 64 GB)",4.4
"53,553","₹15,899","Realme C3 (Frozen Blue, 32 GB)",4.3
"14,706","₹19,999","Realme C3 (Blazing Red, 32 GB)",4.5
"24,916","₹17,999","Redmi 8 (Onyx Black, 64 GB)",4.5
"14,706","₹19,999","Realme 6 (Comet Blue, 64 GB)",4.5
"26,330","₹20,999","Realme 5i (Forest Green, 64 GB)",4.5
"24,916","₹17,999","Realme 5i (Aqua Blue, 128 GB)",4.5
"14,706","₹19,999","Realme 5i (Aqua Blue, 64 GB)",4.5
"1,20,565","₹1,150","Realme 5s (Crystal Blue, 64 GB)",4.3
"10,343","₹20,999","Realme 6 (Comet White, 64 GB)",4.6
"96,533","₹16,999","Realme C2 (Diamond Blue, 32 GB)",4.5
"1,16,574","₹11,999","Realme C2 (Diamond Black, 32 GB)",4.5
"24,141","₹36,999","Realme C2 (Diamond Black, 32 GB)",4.5
"1,33,222","₹1,710","Realme 5s (Crystal Purple, 64 GB)",4.3
"35,197","₹16,999","Realme 5s (Crystal Blue, 128 GB)",4.6
"24,755","₹12,999","Realme C3 (Frozen Blue, 64 GB)",4.3
"33,605","₹8,499","Redmi 8 (Ruby Red, 64 GB)",4.4
"17,024","₹28,499","Realme C3 (Frozen Blue, 32 GB)",4.4
"1,16,574","₹11,999","Realme C3 (Blazing Red, 32 GB)",4.5
"1,19,538","₹6,999","Redmi 8 (Onyx Black, 64 GB)",4.4
"1,19,538","₹6,499","Realme 6 (Comet Blue, 64 GB)",4.4
"72,659","₹13,999","Realme 5i (Forest Green, 64 GB)",4.5
"72,659","₹14,999","Realme 5i (Aqua Blue, 128 GB)",4.5
"58,615","₹15,999","Realme 5i (Aqua Blue, 64 GB)",4.5
"1,26,009","₹13,999","Realme 5s (Crystal Blue, 64 GB)",4.5
"2,206","₹16,999","Realme 6 (Comet White, 64 GB)",4.4
"7,83,247","₹10,999","Realme C2 (Diamond Blue, 32 GB)",4.5
"1,11,336","₹7,499","Realme C2 (Diamond Black, 32 GB)",4.3
"35,197","₹16,999","Realme C2 (Diamond Black, 32 GB)",4.6
"10,781","₹68,300","POCO X2 (Matrix Purple, 128 GB)",4.7
"2,89,559","₹9,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.4
"4,348","₹21,070","Realme 6 Pro (Lightning Blue, 128 GB)",4.3
"53,553","₹15,899","Realme 5 (Crystal Blue, 64 GB)",4.3
"7,598","₹13,690","Realme 6 Pro (Lightning Blue, 64 GB)",4.4
"10,238","₹11,250","Realme C2 (Diamond Sapphire, 32 GB)",4.4
"1,33,222","₹1,710","Realme C2 (Diamond Ruby, 32 GB)",4.3
"2,54,135","₹13,999","POCO X2 (Matrix Purple, 128 GB)",4.5
"93,078","₹17,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.5
"1,16,574","₹11,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.5
"8,355","₹62,999","Realme 5 (Crystal Blue, 64 GB)",4.7
"7,83,247","₹10,999","Realme 5s (Crystal Purple, 64 GB)",4.5
"8,355","₹62,999","Realme 5s (Crystal Blue, 128 GB)",4.7
"1,54,777","₹4,499","Realme C3 (Frozen Blue, 64 GB)",4.3
"2,206","₹16,999","Realme 6 Pro (Lightning Blue, 64 GB)",4.4
"2,54,135","₹13,999","Realme C2 (Diamond Sapphire, 32 GB)",4.5
"4,189","₹29,999","Realme C2 (Diamond Ruby, 32 GB)",4.4
"8,355","₹62,999","POCO X2 (Matrix Purple, 128 GB)",4.7
"26,330","₹20,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.5
"24,916","₹17,999","Realme 6 Pro (Lightning Blue, 128 GB)",4.5
"26,330","₹20,999","Realme 5 (Crystal Blue, 64 GB)",4.5
